0.46,0.46,0.44,0.44,0.42,0.44,0.44,0.32,0.28,0.3,0.26,0.12,0.32,0.52,0.5,0.36,0.48,0.46,0.54,0.52,0.22,0.24,0.4,0.36,0.34,0.34,0.58,1,0.4,0.44,0.64,0.52,0.32,0.3,0.44,0.5,0.46,0.46,0.48,0.44,0.4,0.38,0.5,0.42,0.4,0.62,0.7
0.56,0.56,0.58,0.6,0.46,0.52,0.48,0.36,0.34,0.36,0.48,0.3,0.18,0.44,0.4,0.14,0.56,0.44,0.52,0.52,0.18,0.14,0.4,0.32,0.3,0.36,0.52,1,0.34,0.18,0.62,0.52,0.36,0.34,0.54,0.48,0.44,0.4,0.44,0.44,0.42,0.36,0.48,0.46,0.48,0.6,0.66
0.56,0.54,0.56,0.56,0.44,0.5,0.42,0.46,0.46,0.3,0.44,0.3,0.24,0.5,0.5,0.36,0.48,0.38,0.5,0.54,0.46,0.32,0.44,0.32,0.34,0.4,0.54,1,0.38,0.42,0.58,0.52,0.44,0.46,0.46,0.32,0.46,0.42,0.4,0.36,0.5,0.24,0.48,0.38,0.38,0.66,0.66
0.58,0.56,0.6,0.6,0.4,0.4,0.36,0.4,0.4,0.46,0.34,0.3,0.28,0.56,0.44,0.34,0.54,0.52,0.6,0.6,0.5,0.18,0.48,0.24,0.32,0.32,0.58,1,0.42,0.4,0.6,0.44,0.38,0.4,0.48,0.44,0.52,0.38,0.42,0.26,0.46,0.38,0.56,0.46,0.3,0.66,0.66
0.62,0.6,0.62,0.62,0.48,0.52,0.52,0.3,0.24,0.28,0.32,0.12,0.22,0.54,0.38,0.12,0.52,0.5,0.58,0.62,0.22,0.12,0.14,0.2,0.32,0.3,0.56,1,0.44,0.44,0.62,0.54,0.32,0.24,0.48,0.48,0.46,0.38,0.4,0.28,0.46,0.34,0.54,0.44,0.3,0.66,0.62
0.64,0.62,0.54,0.54,0.5,0.56,0.58,0.34,0.38,0.4,0.32,0.28,0.26,0.62,0.52,0.3,0.56,0.46,0.56,0.56,0.44,0.26,0.44,0.36,0.22,0.24,0.58,1,0.48,0.44,0.62,0.42,0.38,0.38,0.5,0.44,0.5,0.36,0.46,0.28,0.38,0.36,0.52,0.36,0.46,0.68,0.64
0.58,0.54,0.52,0.52,0.52,0.56,0.58,0.34,0.3,0.24,0.34,0.28,0.32,0.48,0.42,0.36,0.4,0.48,0.32,0.48,0.3,0.14,0.28,0.22,0.34,0.36,0.62,1,0.46,0.44,0.58,0.54,0.4,0.3,0.3,0.48,0.46,0.32,0.06,0.24,0.32,0.36,0.5,0.38,0.3,0.62,0.62
0.6,0.58,0.56,0.54,0.48,0.5,0.52,0.34,0.3,0.3,0.28,0.08,0.32,0.54,0.5,0.18,0.48,0.44,0.46,0.5,0.46,0.12,0.46,0.38,0.22,0.38,0.6,1,0.42,0.42,0.64,0.54,0.5,0.32,0.42,0.52,0.52,0.44,0.5,0.36,0.48,0.4,0.5,0.52,0.46,0.64,0.64
0.62,0.58,0.6,0.6,0.36,0.5,0.5,0.32,0.38,0.38,0.46,0.18,0.3,0.54,0.42,0.18,0.5,0.4,0.52,0.54,0.44,0.22,0.48,0.32,0.28,0.34,0.56,1,0.38,0.42,0.64,0.54,0.4,0.4,0.46,0.42,0.52,0.5,0.56,0.38,0.36,0.4,0.54,0.3,0.44,0.58,0.66
0.6,0.56,0.52,0.52,0.42,0.48,0.5,0.38,0.46,0.44,0.44,0.4,0.2,0.62,0.56,0.32,0.58,0.4,0.54,0.6,0.44,0.4,0.38,0.4,0.36,0.26,0.52,1,0.46,0.4,0.62,0.48,0.18,0.46,0.5,0.48,0.38,0.46,0.4,0.22,0.38,0.38,0.42,0.4,0.3,0.64,0.66
0.58,0.56,0.54,0.54,0.52,0.54,0.52,0.42,0.46,0.3,0.42,0.18,0.3,0.62,0.46,0.42,0.56,0.38,0.52,0.62,0.42,0.32,0.42,0.4,0.44,0.32,0.52,1,0.5,0.44,0.6,0.5,0.34,0.46,0.52,0.5,0.44,0.4,0.38,0.42,0.4,0.42,0.48,0.48,0.4,0.62,0.68
0.56,0.6,0.56,0.56,0.5,0.56,0.56,0.4,0.38,0.36,0.36,0.16,0.36,0.52,0.38,0.26,0.56,0.42,0.54,0.52,0.34,0.14,0.4,0.38,0.3,0.34,0.48,1,0.34,0.44,0.62,0.54,0.32,0.38,0.48,0.5,0.48,0.36,0.42,0.34,0.46,0.4,0.46,0.46,0.36,0.48,0.64
0.64,0.7,0.72,0.72,0.54,0.58,0.56,0.26,0.28,0.32,0.34,0.4,0.36,0.54,0.4,0.46,0.6,0.46,0.58,0.56,0.46,0.5,0.44,0.26,0.42,0.34,0.6,1,0.4,0.42,0.58,0.56,0.36,0.32,0.54,0.44,0.48,0.34,0.4,0.3,0.46,0.4,0.52,0.32,0.44,0.6,0.66
0.64,0.58,0.66,0.66,0.44,0.5,0.48,0.34,0.34,0.46,0.36,0.3,0.36,0.52,0.46,0.36,0.58,0.34,0.56,0.66,0.36,0.14,0.22,0.2,0.34,0.38,0.58,1,0.42,0.44,0.62,0.56,0.3,0.34,0.38,0.4,0.46,0.42,0.12,0.26,0.38,0.3,0.48,0.36,0.36,0.6,0.7
0.68,0.62,0.62,0.62,0.48,0.6,0.6,0.4,0.34,0.32,0.42,0.22,0.34,0.56,0.52,0.32,0.54,0.48,0.58,0.58,0.36,0.46,0.48,0.34,0.24,0.36,0.04,1,0.5,0.44,0.62,0.5,0.52,0.34,0.54,0.5,0.46,0.44,0.5,0.36,0.38,0.38,0.52,0.42,0.44,0.62,0.68
0.6,0.58,0.64,0.64,0.38,0.44,0.42,0.34,0.34,0.32,0.44,0.16,0.28,0.3,0.22,0.34,0.54,0.5,0.58,0.56,0.46,0.18,0.32,0.38,0.32,0.34,0.54,1,0.36,0.44,0.64,0.5,0.46,0.36,0.54,0.46,0.54,0.42,0.24,0.34,0.44,0.38,0.5,0.44,0.42,0.66,0.64
0.6,0.62,0.7,0.7,0.46,0.5,0.5,0.42,0.4,0.4,0.42,0.2,0.36,0.58,0.4,0.12,0.56,0.46,0.56,0.56,0.36,0.2,0.18,0.22,0.24,0.34,0.64,1,0.46,0.46,0.62,0.52,0.34,0.42,0.5,0.38,0.54,0.38,0.42,0.4,0.44,0.4,0.5,0.32,0.32,0.58,0.68
0.66,0.6,0.58,0.58,0.48,0.58,0.58,0.42,0.28,0.28,0.44,0.32,0.32,0.56,0.44,0.34,0.48,0.38,0.56,0.56,0.38,0.36,0.36,0.28,0.42,0.36,0.62,1,0.44,0.42,0.58,0.48,0.46,0.28,0.48,0.44,0.54,0.4,0.38,0.4,0.5,0.32,0.54,0.38,0.46,0.6,0.64
0.58,0.56,0.6,0.6,0.42,0.46,0.48,0.34,0.32,0.32,0.36,0.38,0.38,0.56,0.52,0.34,0.58,0.48,0.58,0.58,0.28,0.16,0.44,0.32,0.44,0.2,0.56,1,0.44,0.26,0.58,0.52,0.46,0.3,0.5,0.46,0.42,0.5,0.46,0.46,0.36,0.36,0.46,0.38,0.44,0.62,0.7
0.58,0.58,0.56,0.56,0.46,0.5,0.48,0.32,0.28,0.3,0.4,0.12,0.32,0.54,0.46,0.12,0.52,0.48,0.62,0.58,0.5,0.5,0.38,0.38,0.34,0.34,0,1,0.38,0.42,0.62,0.5,0.48,0.26,0.5,0.5,0.52,0.38,0.52,0.4,0.44,0.34,0.52,0.38,0.38,0.62,0.64
0.64,0.54,0.56,0.56,0.48,0.5,0.5,0.28,0.3,0.28,0.38,0.26,0.32,0.62,0.5,0.1,0.56,0.44,0.6,0.6,0.2,0.1,0.46,0.2,0.3,0.34,0.52,1,0.48,0.44,0.66,0.56,0.38,0.28,0.58,0.48,0.44,0.36,0.5,0.26,0.3,0.36,0.46,0.42,0.38,0.64,0.66
0.58,0.5,0.54,0.54,0.56,0.5,0.5,0.34,0.42,0.34,0.4,0.32,0.38,0.48,0.44,0.5,0.5,0.44,0.54,0.52,0.44,0.32,0.4,0.42,0.24,0.34,0.5,1,0.44,0.36,0.6,0.28,0.4,0.42,0.44,0.48,0.46,0.4,0.44,0.34,0.36,0.38,0.44,0.4,0.44,0.54,0.66
0.6,0.56,0.6,0.6,0.4,0.5,0.48,0.34,0.4,0.38,0.38,0.32,0.28,0.52,0.38,0.3,0.52,0.48,0.58,0.56,0.48,0.44,0.46,0.2,0.24,0.32,0.02,1,0.42,0.42,0.64,0.48,0.36,0.42,0.5,0.44,0.42,0.42,0.46,0.38,0.38,0.4,0.46,0.42,0.48,0.62,0.58
0.64,0.6,0.6,0.6,0.52,0.56,0.54,0.2,0.28,0.32,0.4,0.36,0.3,0.58,0.52,0.46,0.54,0.44,0.54,0.58,0.5,0.46,0.46,0.18,0.36,0.34,0.62,1,0.42,0.42,0.62,0.38,0.32,0.3,0.52,0.5,0.4,0.48,0.42,0.34,0.46,0.36,0.5,0.38,0.32,0.66,0.7
0.54,0.5,0.58,0.58,0.52,0.5,0.5,0.34,0.28,0.32,0.42,0.36,0.32,0.52,0.44,0.36,0.52,0.52,0.42,0.52,0.4,0.4,0.42,0.18,0.32,0.36,0.54,1,0.32,0.42,0.64,0.54,0.46,0.28,0.48,0.42,0.5,0.42,0.38,0.34,0.44,0.38,0.54,0.46,0.3,0.62,0.64
0.62,0.52,0.58,0.58,0.48,0.52,0.52,0.34,0.3,0.32,0.4,0.3,0.28,0.6,0.54,0.38,0.56,0.5,0.54,0.58,0.5,0.16,0.48,0.3,0.24,0.38,0.54,1,0.48,0.44,0.64,0.5,0.52,0.3,0.5,0.48,0.46,0.42,0.46,0.36,0.46,0.34,0.46,0.36,0.24,0.64,0.66
0.68,0.62,0.62,0.62,0.46,0.56,0.58,0.32,0.3,0.46,0.4,0.18,0.3,0.62,0.54,0.24,0.52,0.42,0.58,0.6,0.3,0.12,0.48,0.22,0.32,0.36,0.56,1,0.4,0.4,0.6,0.42,0.38,0.28,0.5,0.48,0.48,0.46,0.44,0.34,0.54,0.32,0.52,0.46,0.3,0.68,0.64
0.58,0.62,0.62,0.62,0.46,0.54,0.54,0.5,0.46,0.46,0.42,0.22,0.34,0.5,0.44,0.36,0.52,0.52,0.46,0.56,0.5,0.24,0.46,0.3,0.32,0.3,0.52,1,0.44,0.38,0.62,0.56,0.34,0.46,0.52,0.42,0.52,0.4,0.48,0.34,0.42,0.32,0.56,0.48,0.44,0.64,0.68
0.5,0.48,0.52,0.5,0.36,0.42,0.42,0.38,0.4,0.4,0.28,0.16,0.3,0.38,0.2,0.26,0.54,0.38,0.58,0.56,0.3,0.28,0.24,0.4,0.34,0.38,0.56,1,0.38,0.42,0.64,0.5,0.4,0.4,0.46,0.38,0.5,0.42,0.48,0.4,0.4,0.44,0.46,0.28,0.24,0.58,0.64
0.56,0.64,0.42,0.42,0.48,0.52,0.52,0.26,0.28,0.24,0.26,0.32,0.34,0.54,0.4,0.36,0.44,0.42,0.42,0.46,0.38,0.18,0.4,0.26,0.4,0.32,0.5,1,0.44,0.4,0.62,0.56,0.34,0.26,0.36,0.34,0.42,0.32,0.38,0.28,0.38,0.34,0.42,0.36,0.28,0.52,0.64
0.52,0.52,0.48,0.48,0.4,0.44,0.44,0.34,0.3,0.32,0.32,0.16,0.26,0.54,0.52,0.42,0.5,0.46,0.6,0.56,0.52,0.36,0.42,0.34,0.3,0.38,0.44,1,0.38,0.16,0.62,0.48,0.4,0.3,0.52,0.5,0.46,0.5,0.46,0.34,0.46,0.36,0.46,0.36,0.4,0.58,0.7
0.52,0.48,0.4,0.4,0.38,0.44,0.48,0.36,0.36,0.42,0.22,0.34,0.14,0.44,0.48,0.26,0.36,0.42,0.44,0.42,0.4,0.28,0.22,0.26,0.34,0.22,0.54,1,0.38,0.4,0.58,0.52,0.26,0.36,0.32,0.42,0.54,0.44,0.44,0.42,0.3,0.42,0.5,0.36,0.44,0.64,0.68
0.58,0.54,0.64,0.66,0.46,0.52,0.52,0.38,0.32,0.36,0.4,0.36,0.34,0.56,0.5,0.32,0.56,0.48,0.5,0.56,0.48,0.18,0.42,0.34,0.32,0.22,0.58,1,0.44,0.16,0.62,0.56,0.42,0.32,0.52,0.48,0.46,0.48,0.52,0.34,0.44,0.42,0.5,0.46,0.42,0.62,0.72
0.62,0.64,0.56,0.58,0.38,0.52,0.54,0.24,0.3,0.32,0.4,0.16,0.32,0.56,0.44,0.4,0.52,0.46,0.64,0.58,0.16,0.46,0.36,0.34,0.28,0.28,0.06,1,0.5,0.42,0.6,0.5,0.34,0.32,0.44,0.4,0.42,0.4,0.44,0.4,0.4,0.36,0.48,0.44,0.5,0.66,0.66
0.64,0.68,0.66,0.64,0.42,0.58,0.6,0.42,0.38,0.4,0.4,0.34,0.28,0.54,0.4,0.36,0.5,0.46,0.56,0.54,0.36,0.16,0.4,0.34,0.32,0.3,0.54,1,0.32,0.38,0.64,0.46,0.32,0.42,0.48,0.34,0.5,0.5,0.46,0.32,0.44,0.38,0.52,0.3,0.36,0.54,0.66
0.64,0.58,0.46,0.48,0.48,0.56,0.56,0.26,0.22,0.26,0.12,0.24,0.2,0.54,0.46,0.04,0.46,0.4,0.46,0.5,0.24,0.06,0.2,0.26,0.38,0.26,0.54,1,0.38,0.44,0.64,0.5,0.1,0.2,0.32,0.4,0.48,0.34,0.46,0.32,0.42,0.34,0.54,0.42,0.3,0.66,0.64
0.58,0.56,0.5,0.52,0.52,0.56,0.54,0.38,0.38,0.34,0.32,0.22,0.32,0.5,0.48,0.42,0.4,0.38,0.4,0.42,0.48,0.46,0.4,0.22,0.36,0.36,0.52,1,0.38,0.44,0.56,0.54,0.5,0.38,0.38,0.46,0.48,0.38,0.44,0.28,0.48,0.36,0.5,0.34,0.4,0.56,0.66
0.64,0.62,0.62,0.62,0.5,0.52,0.56,0.38,0.4,0.4,0.44,0.16,0.32,0.58,0.16,0.32,0.56,0.5,0.5,0.62,0.48,0.26,0.3,0.3,0.3,0.34,0.56,1,0.46,0.4,0.6,0.56,0.36,0.4,0.56,0.48,0.4,0.36,0.38,0.28,0.44,0.38,0.44,0.48,0.48,0.66,0.64
0.46,0.48,0.66,0.66,0.3,0.3,0.28,0.3,0.32,0.36,0.42,0.2,0.3,0.5,0.46,0.18,0.5,0.48,0.48,0.5,0.4,0.16,0.4,0.32,0.32,0.34,0.56,1,0.38,0.46,0.58,0.48,0.34,0.34,0.5,0.36,0.5,0.36,0.44,0.34,0.46,0.38,0.54,0.38,0.28,0.64,0.7
0.64,0.6,0.56,0.56,0.46,0.54,0.54,0.38,0.42,0.44,0.3,0.18,0.3,0.54,0.48,0.2,0.5,0.44,0.52,0.54,0.4,0.14,0.48,0.26,0.34,0.3,0.58,1,0.48,0.42,0.62,0.5,0.34,0.44,0.5,0.3,0.46,0.4,0.34,0.36,0.54,0.4,0.5,0.38,0.42,0.64,0.68
0.54,0.52,0.6,0.58,0.36,0.4,0.42,0.36,0.44,0.46,0.38,0.4,0.18,0.54,0.46,0.34,0.5,0.42,0.58,0.56,0.38,0.22,0.24,0.3,0.34,0.32,0.56,1,0.34,0.44,0.62,0.48,0.46,0.44,0.48,0.46,0.44,0.42,0.48,0.36,0.36,0.38,0.42,0.44,0.42,0.64,0.66
0.58,0.52,0.58,0.58,0.38,0.52,0.52,0.38,0.42,0.46,0.4,0.48,0.4,0.52,0.44,0.42,0.56,0.5,0.48,0.54,0.48,0.28,0.44,0.34,0.4,0.4,0.54,1,0.42,0.42,0.62,0.54,0.46,0.44,0.5,0.48,0.42,0.46,0.46,0.36,0.38,0.36,0.5,0.32,0.4,0.64,0.68
0.6,0.56,0.56,0.56,0.44,0.5,0.5,0.36,0.36,0.4,0.4,0.32,0.3,0.56,0.5,0.42,0.54,0.42,0.5,0.56,0.26,0.16,0.38,0.26,0.4,0.36,0.6,1,0.48,0.42,0.6,0.52,0.4,0.36,0.52,0.46,0.52,0.4,0.48,0.36,0.46,0.28,0.52,0.36,0.32,0.64,0.66
0.7,0.66,0.58,0.58,0.42,0.56,0.56,0.34,0.36,0.34,0.4,0.26,0.22,0.62,0.4,0.32,0.52,0.5,0.54,0.56,0.34,0.1,0.4,0.28,0.32,0.36,0.58,1,0.48,0.34,0.54,0.44,0.46,0.36,0.48,0.42,0.5,0.4,0.44,0.32,0.38,0.32,0.5,0.44,0.32,0.64,0.64
0.6,0.58,0.58,0.6,0.48,0.46,0.52,0.22,0.26,0.32,0.48,0.44,0.3,0.58,0.48,0.38,0.5,0.44,0.54,0.56,0.38,0.42,0.48,0.36,0.3,0.34,0.58,1,0.46,0.46,0.6,0.54,0.32,0.26,0.5,0.44,0.54,0.4,0.32,0.4,0.42,0.38,0.54,0.44,0.38,0.66,0.66
0.64,0.58,0.64,0.64,0.5,0.56,0.56,0.44,0.32,0.28,0.4,0.18,0.28,0.58,0.48,0.32,0.54,0.5,0.58,0.58,0.4,0.12,0.42,0.3,0.36,0.32,0.62,1,0.4,0.42,0.6,0.54,0.42,0.32,0.52,0.46,0.44,0.4,0.46,0.38,0.28,0.4,0.46,0.38,0.32,0.66,0.66
0.66,0.64,0.64,0.64,0.42,0.54,0.52,0.4,0.44,0.46,0.36,0.38,0.3,0.62,0.36,0.44,0.52,0.38,0.48,0.56,0.46,0.3,0.44,0.32,0.3,0.34,0.6,1,0.4,0.42,0.58,0.46,0.44,0.44,0.54,0.42,0.48,0.32,0.48,0.36,0.38,0.4,0.5,0.24,0.5,0.54,0.64
0.5,0.48,0.42,0.42,0.42,0.46,0.46,0.34,0.3,0.34,0.38,0.14,0.32,0.58,0.52,0.12,0.52,0.42,0.5,0.58,0.24,0.12,0.24,0.2,0.34,0.34,0.54,1,0.44,0.4,0.56,0.52,0.26,0.3,0.4,0.46,0.46,0.48,0.46,0.4,0.32,0.4,0.48,0.4,0.46,0.64,0.64
0.46,0.46,0.52,0.52,0.42,0.44,0.48,0.3,0.3,0.3,0.48,0.34,0.3,0.56,0.5,0.52,0.54,0.38,0.52,0.52,0.4,0.22,0.44,0.36,0.3,0.36,0.6,1,0.48,0.42,0.6,0.52,0.5,0.32,0.54,0.42,0.52,0.44,0.44,0.4,0.46,0.24,0.48,0.48,0.34,0.66,0.68
0.6,0.54,0.58,0.58,0.46,0.54,0.54,0.38,0.44,0.44,0.28,0.18,0.3,0.58,0.56,0.28,0.5,0.38,0.56,0.54,0.24,0.18,0.38,0.34,0.3,0.34,0.52,1,0.42,0.44,0.6,0.48,0.2,0.44,0.5,0.54,0.44,0.4,0.48,0.36,0.3,0.4,0.46,0.54,0.36,0.64,0.64
0.58,0.52,0.52,0.52,0.46,0.48,0.5,0.44,0.44,0.4,0.3,0.22,0.36,0.56,0.48,0.28,0.5,0.48,0.56,0.52,0.42,0.16,0.4,0.26,0.3,0.34,0.6,1,0.44,0.42,0.62,0.5,0.42,0.46,0.48,0.46,0.44,0.42,0.26,0.26,0.34,0.36,0.46,0.4,0.38,0.62,0.66
